,Parti,Nama Calon,Undi,Majoriti,Tahun,Negeri,Kawasan DUN,Kod Parlimen,Keputusan,Jumlah Undi,Bahagian Undi(%),Jumlah Layak Mengundi,Pengundi Melayu(%),Pengundi Cina(%),Pengundi India(%),Pengundi Lain-Lain(%),Pengundi Melayu Islam Bumiputera(%),Pengundi Melayu Bukan Islam Bumiputera(%),Pengundi Sabah Bumiputera(%)
114,PAS,DATUK NIK ABDUL AZIZ NIK MAT,7889,3694,2004,Kelantan,CHEMPAKA,020-006,Menang,12084,65.28467395,15229,99,1,0,0,0,0,0
115,UMNO,RUHANI MAMAT,4195,0,2004,Kelantan,CHEMPAKA,020-006,Kalah,12084,34.71532605,15229,99,1,0,0,0,0,0
116,PAS,NIK AMAR NIK ABDULLAH,7123,2085,2004,Kelantan,PANCHOR,020-007,Menang,12161,58.57248582,15593,98,2,1,0,0,0,0
117,UMNO,ZULKIFLI DOLLAH,5038,0,2004,Kelantan,PANCHOR,020-007,Kalah,12161,41.42751418,15593,98,2,1,0,0,0,0
118,PAS,ROHANI IBRAHIM,8015,2789,2004,Kelantan,TANJONG MAS,021-008,Menang,13241,60.5316819,17273,93,7,1,0,0,0,0
119,UMNO,CHE MANSOR ADABI CHE HASSAN,5226,0,2004,Kelantan,TANJONG MAS,021-008,Kalah,13241,39.4683181,17273,93,7,1,0,0,0,0
120,PAS,ANNUAR TAN ABDULLAH,9154,34,2004,Kelantan,KOTA LAMA,021-009,Menang,18274,50.09302835,24787,61,37,2,1,0,0,0
121,MCA,LEONG SU SIANG,9120,0,2004,Kelantan,KOTA LAMA,021-009,Kalah,18274,49.90697165,24787,61,37,2,1,0,0,0
122,PAS,TAKIYUDDIN HASSAN,8340,1931,2004,Kelantan,BUNUT PAYONG,021-010,Menang,14749,56.54620652,19349,91,7,1,0,0,0,0
123,UMNO,SEKH MOHD RUZI SKE AHAMAD,6409,0,2004,Kelantan,BUNUT PAYONG,021-010,Kalah,14749,43.45379348,19349,91,7,1,0,0,0,0
124,UMNO,MOHD FAUZI MOHAMAD,6852,789,2004,Kelantan,TENDONG,022-011,Menang,12915,53.05458769,16525,98,2,0,0,0,0,0
125,PAS,WAN OTHMAN WAN YUSOF,6063,0,2004,Kelantan,TENDONG,022-011,Kalah,12915,46.94541231,16525,98,2,0,0,0,0,0
126,PAS,WAN ABDUL AZIZ WAN FAAFAR,7168,56,2004,Kelantan,PENGKALAN PASIR,022-012,Menang,14280,50.19607843,18646,95,5,0,0,0,0,0
127,UMNO,HANAFI MAMAT,7112,0,2004,Kelantan,PENGKALAN PASIR,022-012,Kalah,14280,49.80392157,18646,95,5,0,0,0,0,0
128,PAS,AB HALIM AB RAHMAN,6970,512,2004,Kelantan,CHETOK,022-013,Menang,13428,51.9064641,17600,95,5,0,0,0,0,0
129,UMNO,DATUK MUSTAFA TAIB,6458,0,2004,Kelantan,CHETOK,022-013,Kalah,13428,48.0935359,17600,95,5,0,0,0,0,0
130,PAS,MOHD NASSURUDDIN DAUD,6095,2105,2004,Kelantan,MERANTI,023-014,Menang,10085,60.43629152,13695,99,0,0,1,0,0,0
131,UMNO,AB HALIM CHE MAN,3990,0,2004,Kelantan,MERANTI,023-014,Kalah,10085,39.56370848,13695,99,0,0,1,0,0,0
132,UMNO,SHAARI MAT HUSSAIN,6275,1192,2004,Kelantan,GUAL PERIOK,023-015,Menang,11358,55.24740271,16577,97,2,0,1,0,0,0
133,PAS,ABDULLAH ABDUL RAZAK,5083,0,2004,Kelantan,GUAL PERIOK,023-015,Kalah,11358,44.75259729,16577,97,2,0,1,0,0,0
134,UMNO,MOHD ZAIN ISMAIL,4493,868,2004,Kelantan,BUKIT TUKU,023-016,Menang,8118,55.34614437,10684,97,0,0,2,0,0,0
135,PAS,HUSSIN IBRAHIM,3625,0,2004,Kelantan,BUKIT TUKU,023-016,Kalah,8118,44.65385563,10684,97,0,0,2,0,0,0
136,PAS,BUNI AMIN HAMZAH,6641,1133,2004,Kelantan,SALOR,024-017,Menang,12149,54.66293522,15340,98,2,0,0,0,0,0
137,UMNO,SITI JELIHA @ ZALEHA HUSSIN,5508,0,2004,Kelantan,SALOR,024-017,Kalah,12149,45.33706478,15340,98,2,0,0,0,0,0
138,PAS,AHMAD BAIHAKI ATIQULLAH,6332,1785,2004,Kelantan,PASIR TUMBOH,024-018,Menang,10879,58.20387903,13734,99,1,0,0,0,0,0
