,NEGERI,BAHAGIAN PILIHAN RAYA,NAMA CALON,PARTI,BILANGAN UNDI,STATUS,KOD DAN NAMA PARLIMEN  ,NAMA DUN,JUMLAH UNDI,MAJORITI
123,JOHOR,N. 44 - LARKIN,YAHYA BIN JA'AFAR ,BN,16422,,P.160 - JOHOR BAHRU,LARKIN,44667,
124,JOHOR,N. 44 - LARKIN,ZAKIAH BINTI TUKIRIN,PAS,3233,HILANG DEPOSIT,P.160 - JOHOR BAHRU,LARKIN,44667,
125,JOHOR,N. 44 - LARKIN,MOHD IZHAR BIN AHMAD,PKR,25012,MENANG,P.160 - JOHOR BAHRU,LARKIN,44667,
126,JOHOR,N. 45 - STULANG,ANG BOON HENG,BN,11532,,P.160 - JOHOR BAHRU,STULANG,35534,
127,JOHOR,N. 45 - STULANG,CHEN KAH ENG ,PKR,24002,MENANG,P.160 - JOHOR BAHRU,STULANG,35534,
128,JOHOR,N. 46 - PERLING,WONG YOU FONG,BN,13059,,P.161 - PULAI,PERLING,51541,
129,JOHOR,N. 46 - PERLING,MUHAMAD NAZRIN BIN IHSAN,PAS,5890,HILANG DEPOSIT,P.161 - PULAI,PERLING,51541,
130,JOHOR,N. 46 - PERLING,CHEO YEE HOW,PKR,32592,MENANG,P.161 - PULAI,PERLING,51541,
131,JOHOR,N. 47 - KEMPAS,RAMLEE BIN BOHANI,BN,11959,,P.161 - PULAI,KEMPAS,35417,
132,JOHOR,N. 47 - KEMPAS,DZULKIFLI BIN SULEIMAN,PAS,2321,HILANG DEPOSIT,P.161 - PULAI,KEMPAS,35417,
133,JOHOR,N. 47 - KEMPAS,OSMAN BIN SAPIAN,PKR,21137,MENANG,P.161 - PULAI,KEMPAS,35417,
134,JOHOR,N. 48 - SKUDAI,S KANAN A/L G SUPPIAH,BN,12233,,P.162 - ISKANDAR PUTERI,SKUDAI,59592,
135,JOHOR,N. 48 - SKUDAI,TAN HONG PIN ,PKR,47359,MENANG,P.162 - ISKANDAR PUTERI,SKUDAI,59592,
136,JOHOR,N. 49 - KOTA ISKANDAR,MOHAMMAD KHAIRI BIN A.MALIK,BN,18912,,P.162 - ISKANDAR PUTERI,KOTA ISKANDAR,57333,
137,JOHOR,N. 49 - KOTA ISKANDAR,DZULKEFLY BIN AHMAD,PKR,33455,MENANG,P.162 - ISKANDAR PUTERI,KOTA ISKANDAR,57333,
138,JOHOR,N. 49 - KOTA ISKANDAR,SALLEH UHDEN @ SALLEHUDDIN BIN MOHD DAHIRAN,PAS,4966,HILANG DEPOSIT,P.162 - ISKANDAR PUTERI,KOTA ISKANDAR,57333,
139,JOHOR,N. 50 - BUKIT PERMAI,ALI MAZAT BIN SALLEH,BN,8467,,P.163 - KULAI,BUKIT PERMAI,20857,
140,JOHOR,N. 50 - BUKIT PERMAI,ABD AZIZ BIN JA'AFAR,PAS,1392,HILANG DEPOSIT,P.163 - KULAI,BUKIT PERMAI,20857,
